Num	2DID	Config
#01	725HW3001RE0001A6Q	SNKJ
#02	725HW3001EV0001A6Q	SNKJ
#03	725HW3001SL0001A6Q	SNKJ
#04	725HW3001EX0001A6Q	SNKJ
#05	725HW30017V0001A6Q	DNNJ
#06	725HW3001460001A6Q	DNNJ
#07	725HW3001600001A6Q	DNNJ
#08	725HW3001KH0001A6Q	SNKJ
#09	725HW3001AT0001A6Q	DNNJ
#10	725HW3001R10001A6Q	SNKJ
#11	725HW3001A60001A6Q	DNNJ
#12	725HW30018P0001A6Q	DNNJ
#13	725HW3001N00001A6Q	SNKJ
#14	725HW3001KE0001A6Q	SNKJ
#15	725HW3001NB0001A6Q	SNKJ
#16	725HW3001Q60001A6Q	SNKJ
#17	725HW30014E0001A6Q	DNNJ
#18	725HW30011H0001A6Q	DNNJ
#19	725HW3001EU0001A6Q	SNKJ
#20	725HW3001KP0001A6Q	SNKJ
#21	725HW3001230001A6Q	DNNJ
#22	725HW3001220001A6Q	DNNJ
#23	725HW3001R40001A6Q	SNKJ
#24	725HW30016Q0001A6Q	DNNJ
#25	725HW30010T0001A6Q	DNNJ
#26	725HW3001LM0001A6Q	SNKJ
#27	725HW3001NU0001A6Q	SNKJ
#28	725HW3001QY0001A6Q	SNKJ
#29	725HW3001MZ0001A6Q	SNKJ
#30	725HW3001KT0001A6Q	SNKJ
#31	725HW3000ZF0001A6Q	DNNJ
#32	725HW3001RV0001A6Q	SNKJ
#33	725HW3001QA0001A6Q	SNKJ
#34	725HW3001KQ0001A6Q	SNKJ
#35	725HW3001F90001A6Q	SNKJ
#36	725HW3001PE0001A6Q	SNKJ
#37	725HW3001GC0001A6Q	SNKJ
#38	725HW30017C0001A6Q	DNNJ
#39	725HW3001T60001A6Q	SNKJ
#40	725HW30019Q0001A6Q	DNNJ
