TEST_NAME,BAND,CH,PKT_TYPE,PAGAIN,PWR_MODE,HPA,P/F,VSWR,PHASE,SWP,VALUE
tx_pwr_avg,0,L,DH5,15,0,1500,Pass,1,0,,16.1
tx_pwr_avg,0,M,DH5,15,0,1500,Pass,1,0,,15.938
tx_pwr_avg,0,H,DH5,15,0,1500,Pass,1,0,,15.847
tx_pwr_avg,1,L,DH5,15,1,1500,Pass,1,0,,15.235
tx_pwr_avg,1,M,DH5,15,1,1500,Pass,1,0,,15.201
tx_pwr_avg,1,H,DH5,15,1,1500,Pass,1,0,,15.223
tx_pwr_avg,2,L,DH5,15,0,1500,Pass,1,0,,15.234
tx_pwr_avg,2,M,DH5,15,0,1500,Pass,1,0,,15.042
tx_pwr_avg,2,H,DH5,15,0,1500,Pass,1,0,,14.992
tx_pwr_avg,4,L,DH5,15,0,1500,Pass,1,0,,14.837
tx_pwr_avg,4,M,DH5,15,0,1500,Pass,1,0,,14.662
tx_pwr_avg,4,H,DH5,15,0,1500,Pass,1,0,,14.467
tx_pwr_avg,5,L,DH5,15,0,1500,Pass,1,0,,14.499
tx_pwr_avg,5,M,DH5,15,0,1500,Pass,1,0,,14.312
tx_pwr_avg,5,H,DH5,15,0,1500,Pass,1,0,,14.224
tx_pwr_avg,6,L,DH5,15,0,1500,Pass,1,0,,14.119
tx_pwr_avg,6,M,DH5,15,0,1500,Pass,1,0,,14.008
tx_pwr_avg,6,H,DH5,15,0,1500,Pass,1,0,,13.783
tx_pwr_avg,7,L,DH5,15,0,1500,Pass,1,0,,13.765
tx_pwr_avg,7,M,DH5,15,0,1500,Pass,1,0,,13.634
tx_pwr_avg,7,H,DH5,15,0,1500,Pass,1,0,,13.501
tx_pwr_DPSKPWR,0,L,8-DH5,15,0,1500,Pass,1,0,,13.2
tx_pwr_DPSKPWR,0,M,8-DH5,15,0,1500,Pass,1,0,,13.074
tx_pwr_DPSKPWR,0,H,8-DH5,15,0,1500,Pass,1,0,,12.904
tx_pwr_DPSKPWR,1,L,8-DH5,15,1,1500,Pass,1,0,,12.404
tx_pwr_DPSKPWR,1,M,8-DH5,15,1,1500,Pass,1,0,,12.342
tx_pwr_DPSKPWR,1,H,8-DH5,15,1,1500,Pass,1,0,,12.358
tx_pwr_DPSKPWR,2,L,8-DH5,15,0,1500,Pass,1,0,,12.327
tx_pwr_DPSKPWR,2,M,8-DH5,15,0,1500,Pass,1,0,,12.143
tx_pwr_DPSKPWR,2,H,8-DH5,15,0,1500,Pass,1,0,,12.066
tx_pwr_DPSKPWR,4,L,8-DH5,15,0,1500,Pass,1,0,,11.936
tx_pwr_DPSKPWR,4,M,8-DH5,15,0,1500,Pass,1,0,,11.727
tx_pwr_DPSKPWR,4,H,8-DH5,15,0,1500,Pass,1,0,,11.532
tx_pwr_DPSKPWR,5,L,8-DH5,15,0,1500,Pass,1,0,,11.54
tx_pwr_DPSKPWR,5,M,8-DH5,15,0,1500,Pass,1,0,,11.351
tx_pwr_DPSKPWR,5,H,8-DH5,15,0,1500,Pass,1,0,,11.244
tx_pwr_DPSKPWR,6,L,8-DH5,15,0,1500,Pass,1,0,,11.217
tx_pwr_DPSKPWR,6,M,8-DH5,15,0,1500,Pass,1,0,,11.043
tx_pwr_DPSKPWR,6,H,8-DH5,15,0,1500,Pass,1,0,,10.818
tx_pwr_DPSKPWR,7,L,8-DH5,15,0,1500,Pass,1,0,,10.889
tx_pwr_DPSKPWR,7,M,8-DH5,15,0,1500,Pass,1,0,,10.697
tx_pwr_DPSKPWR,7,H,8-DH5,15,0,1500,Pass,1,0,,10.609
tx_pwr_DPSKPWR,0,L,8-HDRP,15,0,1500,Pass,1,0,,12.934
tx_pwr_DPSKPWR,0,M,8-HDRP,15,0,1500,Pass,1,0,,12.776
tx_pwr_DPSKPWR,0,H,8-HDRP,15,0,1500,Pass,1,0,,12.619
tx_pwr_DPSKPWR,1,L,8-HDRP,15,1,1500,Pass,1,0,,11.989
tx_pwr_DPSKPWR,1,M,8-HDRP,15,1,1500,Pass,1,0,,11.956
tx_pwr_DPSKPWR,1,H,8-HDRP,15,1,1500,Pass,1,0,,12.002
tx_pwr_DPSKPWR,2,L,8-HDRP,15,0,1500,Pass,1,0,,11.988
tx_pwr_DPSKPWR,2,M,8-HDRP,15,0,1500,Pass,1,0,,11.777
tx_pwr_DPSKPWR,2,H,8-HDRP,15,0,1500,Pass,1,0,,11.74
tx_pwr_DPSKPWR,4,L,8-HDRP,15,0,1500,Pass,1,0,,11.595
tx_pwr_DPSKPWR,4,M,8-HDRP,15,0,1500,Pass,1,0,,11.375
tx_pwr_DPSKPWR,4,H,8-HDRP,15,0,1500,Pass,1,0,,11.186
tx_pwr_DPSKPWR,5,L,8-HDRP,15,0,1500,Pass,1,0,,11.206
tx_pwr_DPSKPWR,5,M,8-HDRP,15,0,1500,Pass,1,0,,11.022
tx_pwr_DPSKPWR,5,H,8-HDRP,15,0,1500,Pass,1,0,,10.925
tx_pwr_DPSKPWR,6,L,8-HDRP,15,0,1500,Pass,1,0,,10.853
tx_pwr_DPSKPWR,6,M,8-HDRP,15,0,1500,Pass,1,0,,10.684
tx_pwr_DPSKPWR,6,H,8-HDRP,15,0,1500,Pass,1,0,,10.471
tx_pwr_DPSKPWR,7,L,8-HDRP,15,0,1500,Pass,1,0,,10.544
tx_pwr_DPSKPWR,7,M,8-HDRP,15,0,1500,Pass,1,0,,10.348
tx_pwr_DPSKPWR,7,H,8-HDRP,15,0,1500,Pass,1,0,,10.238
tx_pwr_avg,0,L,DH5,15,0,1500,Pass,2,0,,15.267
tx_pwr_avg,0,M,DH5,15,0,1500,Pass,2,0,,15.228
tx_pwr_avg,0,H,DH5,15,0,1500,Pass,2,0,,15.187
tx_pwr_avg,1,L,DH5,15,1,1500,Pass,2,0,,14.208
tx_pwr_avg,1,M,DH5,15,1,1500,Pass,2,0,,14.212
tx_pwr_avg,1,H,DH5,15,1,1500,Pass,2,0,,14.281
tx_pwr_avg,2,L,DH5,15,0,1500,Pass,2,0,,15.15
tx_pwr_avg,2,M,DH5,15,0,1500,Pass,2,0,,15.053
tx_pwr_avg,2,H,DH5,15,0,1500,Pass,2,0,,15.046
tx_pwr_avg,4,L,DH5,15,0,1500,Pass,2,0,,14.991
tx_pwr_avg,4,M,DH5,15,0,1500,Pass,2,0,,14.86
tx_pwr_avg,4,H,DH5,15,0,1500,Pass,2,0,,14.722
tx_pwr_avg,5,L,DH5,15,0,1500,Pass,2,0,,14.756
tx_pwr_avg,5,M,DH5,15,0,1500,Pass,2,0,,14.674
tx_pwr_avg,5,H,DH5,15,0,1500,Pass,2,0,,14.603
tx_pwr_avg,6,L,DH5,15,0,1500,Pass,2,0,,14.523
tx_pwr_avg,6,M,DH5,15,0,1500,Pass,2,0,,14.409
tx_pwr_avg,6,H,DH5,15,0,1500,Pass,2,0,,14.283
tx_pwr_avg,7,L,DH5,15,0,1500,Pass,2,0,,14.273
tx_pwr_avg,7,M,DH5,15,0,1500,Pass,2,0,,14.175
tx_pwr_avg,7,H,DH5,15,0,1500,Pass,2,0,,14.075
tx_pwr_DPSKPWR,0,L,8-DH5,15,0,1500,Pass,2,0,,12.359
tx_pwr_DPSKPWR,0,M,8-DH5,15,0,1500,Pass,2,0,,12.235
tx_pwr_DPSKPWR,0,H,8-DH5,15,0,1500,Pass,2,0,,12.228
tx_pwr_DPSKPWR,1,L,8-DH5,15,1,1500,Pass,2,0,,11.329
tx_pwr_DPSKPWR,1,M,8-DH5,15,1,1500,Pass,2,0,,11.328
tx_pwr_DPSKPWR,1,H,8-DH5,15,1,1500,Pass,2,0,,11.417
tx_pwr_DPSKPWR,2,L,8-DH5,15,0,1500,Pass,2,0,,12.32
tx_pwr_DPSKPWR,2,M,8-DH5,15,0,1500,Pass,2,0,,12.188
tx_pwr_DPSKPWR,2,H,8-DH5,15,0,1500,Pass,2,0,,12.2
tx_pwr_DPSKPWR,4,L,8-DH5,15,0,1500,Pass,2,0,,12.154
