Date and Time,16 Nov 2023   13:18
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
               1,       10.000 Hz,      200 mV p-p,       77.188 dB
               2,       10.965 Hz,      200 mV p-p,       67.941 dB
               3,       12.023 Hz,      200 mV p-p,       71.980 dB
               4,       13.183 Hz,      200 mV p-p,       74.492 dB
               5,       14.454 Hz,      200 mV p-p,       79.864 dB
               6,       15.849 Hz,      200 mV p-p,       91.801 dB
               7,       17.378 Hz,      200 mV p-p,       71.367 dB
               8,       19.055 Hz,      200 mV p-p,       75.771 dB
               9,       20.893 Hz,      200 mV p-p,       69.535 dB
              10,       22.909 Hz,      200 mV p-p,       73.240 dB
              11,       25.119 Hz,      200 mV p-p,       76.631 dB
              12,       27.542 Hz,      200 mV p-p,       69.962 dB
              13,       30.200 Hz,      200 mV p-p,       78.566 dB
              14,       33.113 Hz,      200 mV p-p,       67.794 dB
              15,       36.308 Hz,      200 mV p-p,       70.594 dB
              16,       39.811 Hz,      200 mV p-p,       71.776 dB
              17,       43.652 Hz,      200 mV p-p,       64.842 dB
              18,       47.863 Hz,      200 mV p-p,       67.590 dB
              19,       52.481 Hz,      200 mV p-p,       60.524 dB
              20,       57.544 Hz,      200 mV p-p,       69.153 dB
              21,       63.096 Hz,      200 mV p-p,       61.793 dB
              22,       69.183 Hz,      200 mV p-p,       64.670 dB
              23,       75.858 Hz,      200 mV p-p,       67.113 dB
              24,       83.176 Hz,      200 mV p-p,       66.914 dB
              25,       91.201 Hz,      200 mV p-p,       60.762 dB
              26,      100.000 Hz,      200 mV p-p,       59.678 dB
              27,      109.648 Hz,      200 mV p-p,       62.795 dB
              28,      120.226 Hz,      200 mV p-p,       56.980 dB
              29,      131.826 Hz,      200 mV p-p,       57.654 dB
              30,      144.544 Hz,      200 mV p-p,       59.774 dB
              31,      158.489 Hz,      200 mV p-p,       57.175 dB
              32,      173.780 Hz,      200 mV p-p,       60.234 dB
              33,      190.546 Hz,      200 mV p-p,       57.318 dB
              34,      208.930 Hz,      200 mV p-p,       55.191 dB
              35,      229.087 Hz,      200 mV p-p,       62.228 dB
              36,      251.189 Hz,      200 mV p-p,       56.088 dB
              37,      275.423 Hz,      200 mV p-p,       55.998 dB
              38,      301.995 Hz,      200 mV p-p,       56.002 dB
              39,      331.131 Hz,      200 mV p-p,       57.088 dB
              40,      363.078 Hz,      200 mV p-p,       55.458 dB
              41,      398.107 Hz,      200 mV p-p,       55.142 dB
              42,      436.516 Hz,      200 mV p-p,       56.223 dB
              43,      478.630 Hz,      200 mV p-p,       55.203 dB
              44,      524.807 Hz,      200 mV p-p,       58.444 dB
              45,      575.440 Hz,      200 mV p-p,       52.149 dB
              46,      630.957 Hz,      200 mV p-p,       56.043 dB
              47,      691.831 Hz,      200 mV p-p,       56.305 dB
              48,      758.578 Hz,      200 mV p-p,       57.053 dB
              49,      831.764 Hz,      200 mV p-p,       63.249 dB
              50,      912.011 Hz,      200 mV p-p,       56.700 dB
              51,    1.000000 kHz,      200 mV p-p,       58.645 dB
              52,    1.096478 kHz,      200 mV p-p,       57.737 dB
              53,    1.202264 kHz,      200 mV p-p,       56.795 dB
              54,    1.318257 kHz,      200 mV p-p,       57.180 dB
              55,    1.445440 kHz,      200 mV p-p,       56.124 dB
              56,    1.584893 kHz,      200 mV p-p,       55.814 dB
              57,    1.737801 kHz,      200 mV p-p,       53.153 dB
              58,    1.905461 kHz,      200 mV p-p,       52.068 dB
              59,    2.089296 kHz,      200 mV p-p,       51.043 dB
              60,    2.290868 kHz,      200 mV p-p,       50.602 dB
              61,    2.511886 kHz,      200 mV p-p,       49.263 dB
              62,    2.754229 kHz,      200 mV p-p,       48.187 dB
              63,    3.019952 kHz,      200 mV p-p,       46.433 dB
              64,    3.311311 kHz,      200 mV p-p,       45.438 dB
              65,    3.630781 kHz,      200 mV p-p,       45.027 dB
              66,    3.981072 kHz,      200 mV p-p,       43.452 dB
              67,    4.365158 kHz,      200 mV p-p,       43.410 dB
              68,    4.786301 kHz,      200 mV p-p,       43.383 dB
              69,    5.248075 kHz,      200 mV p-p,       42.357 dB
              70,    5.754399 kHz,      200 mV p-p,       41.619 dB
              71,    6.309573 kHz,      200 mV p-p,       40.609 dB
              72,    6.918310 kHz,      200 mV p-p,       39.433 dB
              73,    7.585776 kHz,      200 mV p-p,       38.838 dB
              74,    8.317638 kHz,      200 mV p-p,       38.402 dB
              75,    9.120108 kHz,      200 mV p-p,       37.102 dB
              76,   10.000000 kHz,      200 mV p-p,       36.925 dB
              77,   10.964782 kHz,      200 mV p-p,       36.004 dB
              78,   12.022644 kHz,      200 mV p-p,       35.591 dB
              79,   13.182567 kHz,      200 mV p-p,       35.022 dB
              80,   14.454398 kHz,      200 mV p-p,       34.305 dB
              81,   15.848932 kHz,      200 mV p-p,       33.644 dB
              82,   17.378008 kHz,      200 mV p-p,       32.534 dB
              83,   19.054607 kHz,      200 mV p-p,       32.539 dB
              84,   20.892961 kHz,      200 mV p-p,       30.965 dB
              85,   22.908677 kHz,      200 mV p-p,       29.918 dB
              86,   25.118864 kHz,      200 mV p-p,       29.029 dB
              87,   27.542287 kHz,      200 mV p-p,       28.136 dB
              88,   30.199517 kHz,      200 mV p-p,       27.078 dB
              89,   33.113112 kHz,      200 mV p-p,       25.262 dB
              90,   36.307805 kHz,      200 mV p-p,       24.067 dB
              91,   39.810717 kHz,      200 mV p-p,       22.871 dB
              92,   43.651583 kHz,      200 mV p-p,       21.659 dB
              93,   47.863009 kHz,      200 mV p-p,       20.317 dB
              94,   52.480746 kHz,      200 mV p-p,       18.808 dB
              95,   57.543994 kHz,      200 mV p-p,       17.229 dB
              96,   63.095734 kHz,      200 mV p-p,       15.251 dB
              97,   69.183097 kHz,      200 mV p-p,       13.853 dB
              98,   75.857758 kHz,      200 mV p-p,       11.918 dB
              99,   83.176377 kHz,      200 mV p-p,       10.467 dB
             100,   91.201084 kHz,      200 mV p-p,        8.921 dB
